gene	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Annotation_tax_scope	Matching_Ogs	best_OG|evalue|score	COG_functional_categories	eggNOG_HMM_model_annotation
augustus_masked-NW_019167827.1-processed-gene-4.7-mRNA-1	4641.GSMUA_Achr1P23830_001	7.5e-132	428.3		GO:0000003,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0007049,GO:0007275,GO:0008150,GO:0009553,GO:0009554,GO:0009555,GO:0009556,GO:0009987,GO:0022414,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0048229,GO:0048236,GO:0048610,GO:0048856,GO:0048869,GO:0051321	K06685		virNOG[6]	0TIX4@lilNOG,0XSUJ@NOG,1BI99@strNOG,1DQSE@virNOG,KOG0440@euNOG	1DQSE|2.8e-129|430.0	D	Mps one binder kinase activator-like
augustus_masked-NW_019167827.1-processed-gene-4.2-mRNA-1	3711.Bra038270.1-P	4.4e-135	441.4		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0009314,GO:0009411,GO:0009416,GO:0009507,GO:0009526,GO:0009536,GO:0009628,GO:0009941,GO:0010224,GO:0031967,GO:0031975,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0050896			virNOG[6]	0C561@braNOG,0XU74@NOG,1BIDU@strNOG,1DUSQ@virNOG,KOG4249@euNOG	1DUSQ|3.9e-156|522.2	S	Vitamin B6 photo-protection and homoeostasis
augustus_masked-NW_019167827.1-processed-gene-4.18-mRNA-1	3694.POPTR_0003s09830.1	1.8e-229	752.1	PRK	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006952,GO:0008150,GO:0009266,GO:0009409,GO:0009507,GO:0009526,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0009607,GO:0009617,GO:0009628,GO:0009941,GO:0010319,GO:0016020,GO:0031967,GO:0031975,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0042742,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0048046,GO:0050896,GO:0051704,GO:0051707,GO:0055035	K00855		virNOG[6]	0IMEH@euNOG,1C6GG@strNOG,1EKD0@virNOG,COG0572@NOG	1EKD0|2.6e-226|752.2	T, Z	Phosphoribulokinase
augustus_masked-NW_019167827.1-processed-gene-4.12-mRNA-1	3694.POPTR_0003s02780.1	1.8e-101	329.8					virNOG[6]	0IJ8J@euNOG,11KYK@NOG,1BJ2C@strNOG,1DWZI@virNOG	1DWZI|7.5e-75|253.5	S	NA
augustus_masked-NW_019167827.1-processed-gene-4.13-mRNA-1	3694.POPTR_0003s10200.1	1.1e-94	307.2					virNOG[6]	0IEF2@euNOG,124MX@NOG,1BGQA@strNOG,1DUM1@virNOG	1DUM1|5.8e-102|341.8	S	NA
augustus_masked-NW_019167827.1-processed-gene-4.17-mRNA-1	4081.Solyc08g076010.2.1	2.8e-100	326.1		GO:0001071,GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:2000112,GO:2001141			virNOG[6]	0IWJ3@euNOG,0YGU0@NOG,1BMM8@strNOG,1DZFI@virNOG	1DZFI|1.5e-119|399.8	K	Myb family transcription factor
augustus_masked-NW_019167827.1-processed-gene-4.19-mRNA-1	3847.GLYMA09G34400.1	2.7e-149	486.8		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005794,GO:0005886,GO:0012505,GO:0012506,GO:0016020,GO:0016023,GO:0030133,GO:0030658,GO:0030659,GO:0031090,GO:0031410,GO:0031982,GO:0031988,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0071944	K19995		virNOG[6]	0XSJN@NOG,1BBT6@strNOG,1DPRU@virNOG,KOG3088@euNOG	1DPRU|1.8e-141|471.2	U	secretory carrier-associated membrane protein
augustus_masked-NW_019167827.1-processed-gene-4.16-mRNA-1	29760.VIT_02s0033g00230.t01	6.2e-102	330.8		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464			virNOG[6]	0IHZ8@euNOG,0ZP9P@NOG,1BCIT@strNOG,1DZFD@virNOG	1DZFD|7.5e-101|338.2	S	Domain of unknown function (DUF1995)
augustus_masked-NW_019167827.1-processed-gene-4.21-mRNA-1	3702.AT5G45530.1	8.8e-45	145.0		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0BUZ0@braNOG,0IGXB@euNOG,0YBQC@NOG,1BCEN@strNOG,1DQCM@virNOG	1DQCM|2.4e-50|172.8	S	expressed protein
augustus_masked-NW_019167827.1-processed-gene-4.14-mRNA-1	3702.AT4G19100.1	1.4e-87	284.1	OSI_22748	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035			virNOG[6]	0C1WB@braNOG,0J01F@euNOG,1261T@NOG,1BRQ3@strNOG,1E3YQ@virNOG	1E3YQ|9.3e-87|291.4	S	protein PAM68, chloroplastic-like
augustus_masked-NW_019167827.1-processed-gene-4.20-mRNA-1	59689.fgenesh2_kg.8__246__AT5G45530.1	5.8e-57	184.8					virNOG[6]	0BUZ0@braNOG,0IGXB@euNOG,0YBQC@NOG,1BCEN@strNOG,1DQCM@virNOG	1DQCM|6.9e-59|201.0	S	expressed protein
augustus_masked-NW_019167827.1-processed-gene-4.15-mRNA-1	3694.POPTR_0001s01500.1	8.2e-59	189.4		GO:0005575,GO:0016020			virNOG[6]	0IGRX@euNOG,11H32@NOG,1BHBF@strNOG,1DV7I@virNOG	1DV7I|1.3e-46|160.1	S	Family of unknown function (DUF716) 
augustus_masked-NW_019167827.1-processed-gene-4.22-mRNA-1	29760.VIT_19s0014g03840.t01	2.7e-30	97.0		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IGXB@euNOG,0YBQC@NOG,1BCEN@strNOG,1DQCM@virNOG	1DQCM|3.4e-30|106.2	S	expressed protein
augustus_masked-NW_019167827.1-processed-gene-4.1-mRNA-1	4113.PGSC0003DMT400072850	6.7e-65	208.2			K10744,K10768		virNOG[6]	0YS7I@NOG,1BHQV@strNOG,1DVME@virNOG,KOG4705@euNOG	1DVME|5e-69|234.2	D	ribonuclease H2 subunit
augustus_masked-NW_019167827.1-processed-gene-5.3-mRNA-1	29760.VIT_02s0012g02250.t01	4.7e-214	702.8		GO:0001071,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:2000112,GO:2001141	K09060		virNOG[6]	0IE8M@euNOG,0Y53Y@NOG,1BD2Q@strNOG,1DQBF@virNOG	1DQBF|8.8e-186|618.9	K	Transcription factor
augustus_masked-NW_019167827.1-processed-gene-5.1-mRNA-1	3694.POPTR_0001s01760.1	3.9e-209	686.6			K03039		virNOG[6]	0XPG9@NOG,1BJD8@strNOG,1DXAP@virNOG,KOG2908@euNOG	1DXAP|2.7e-199|663.2	O	26S proteasome
augustus_masked-NW_019167827.1-processed-gene-5.4-mRNA-1	3694.POPTR_0001s01870.1	6.3e-173	565.4		GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0048046,GO:0071944	K08235		virNOG[6]	0IITG@euNOG,11G24@NOG,1BJDC@strNOG,1DXV4@virNOG	1DXV4|2.8e-176|586.3	G	Xyloglucan endotransglucosylase hydrolase protein
augustus_masked-NW_019167827.1-processed-gene-5.2-mRNA-1	3694.POPTR_0001s01780.1	1.7e-59	190.7	OSI_08570				virNOG[6]	0Z7Z7@NOG,1BDW5@strNOG,1DRTK@virNOG,KOG4197@euNOG	1DRTK|5.7e-50|171.3	S	Pentatricopeptide repeat-containing protein
augustus_masked-NW_019167827.1-processed-gene-5.12-mRNA-1	3694.POPTR_0013s07900.1	0.0	1944.6	CSLD2	GO:0000030,GO:0000139,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005783,GO:0005794,GO:0005802,GO:0005886,GO:0006950,GO:0007275,GO:0008150,GO:0008152,GO:0008544,GO:0009266,GO:0009409,GO:0009628,GO:0009653,GO:0009888,GO:0009913,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0012505,GO:0016020,GO:0016021,GO:0016049,GO:0016740,GO:0016757,GO:0016758,GO:0019187,GO:0021700,GO:0022622,GO:0030154,GO:0030173,GO:0030855,GO:0031090,GO:0031224,GO:0031228,GO:0031300,GO:0031301,GO:0032501,GO:0032502,GO:0040007,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043588,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0048364,GO:0048468,GO:0048469,GO:0048513,GO:0048588,GO:0048589,GO:0048731,GO:0048764,GO:0048765,GO:0048767,GO:0048856,GO:0048869,GO:0050896,GO:0051753,GO:0060429,GO:0060560,GO:0071944			virNOG[6]	0IEH4@euNOG,1BESD@strNOG,1DSPX@virNOG,COG1215@NOG	1DSPX|0.0|2032.3	G	cellulose synthase-like
augustus_masked-NW_019167827.1-processed-gene-5.8-mRNA-1	29760.VIT_02s0012g02570.t01	0.0	1573.0	XLG3	GO:0001664,GO:0003674,GO:0003824,GO:0003924,GO:0004871,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005834,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007186,GO:0007187,GO:0007188,GO:0007275,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009605,GO:0009606,GO:0009612,GO:0009628,GO:0009629,GO:0009630,GO:0009652,GO:0009719,GO:0009723,GO:0009725,GO:0009737,GO:0009743,GO:0009744,GO:0009746,GO:0009749,GO:0009750,GO:0009898,GO:0009987,GO:0010033,GO:0010555,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0019897,GO:0019898,GO:0022603,GO:0022622,GO:0023052,GO:0031234,GO:0031683,GO:0032403,GO:0032501,GO:0032502,GO:0032991,GO:0033993,GO:0034284,GO:0034285,GO:0034641,GO:0034655,GO:0042221,GO:0042278,GO:0042454,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044700,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0048364,GO:0048513,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0051716,GO:0055086,GO:0060089,GO:0065007,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0097305,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:1901700,GO:2000026,GO:2000067,GO:2000280	K04630		virNOG[6]	0XNVQ@NOG,1BC0T@strNOG,1DWJW@virNOG,KOG0082@euNOG	1DWJW|0.0|1480.2	D, T	GTP-binding protein
augustus_masked-NW_019167827.1-processed-gene-5.0-mRNA-1	59689.fgenesh2_kg.8__252__AT5G45480.1	7.4e-202	664.3		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0C49V@braNOG,0IGXB@euNOG,0YBQC@NOG,1BCEN@strNOG,1DQCM@virNOG	1DQCM|8.2e-256|851.9	S	expressed protein
augustus_masked-NW_019167827.1-processed-gene-5.10-mRNA-1	3694.POPTR_0002s02250.1	2.4e-136	446.7		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0071944	K12272		virNOG[6]	1BDPY@strNOG,1DRM6@virNOG,COG2229@NOG,KOG0090@euNOG	1DRM6|1.4e-128|428.5	U	Signal recognition particle
augustus_masked-NW_019167827.1-processed-gene-5.5-mRNA-1	3694.POPTR_0011s04040.1	6.2e-100	326.0		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IJ5A@euNOG,0YFGM@NOG,1BJU0@strNOG,1DXRC@virNOG	1DXRC|4.3e-142|475.7	S	NA
augustus_masked-NW_019167827.1-processed-gene-5.7-mRNA-1	3702.AT5G45480.1	8,00E-149	488.8		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0C49V@braNOG,0IGXB@euNOG,0YBQC@NOG,1BCEN@strNOG,1DQCM@virNOG	1DQCM|1e-179|600.4	S	expressed protein
augustus_masked-NW_019167827.1-processed-gene-5.9-mRNA-1	29760.VIT_02s0012g02530.t01	4.6e-251	823.9			K00938		virNOG[6]	1BKPV@strNOG,1DYJQ@virNOG,COG3890@NOG,KOG4519@euNOG	1DYJQ|3.4e-261|868.3	I	Phosphomevalonate
augustus_masked-NW_019167827.1-processed-gene-5.13-mRNA-1	3847.GLYMA09G34120.2	1.4e-164	536.6		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	1BMIX@strNOG,1DU7H@virNOG,COG1073@NOG,KOG1552@euNOG	1DU7H|6e-179|596.2	S	abhydrolase domain-containing protein
augustus_masked-NW_019167827.1-processed-gene-5.6-mRNA-1	3694.POPTR_0001s02970.1	4.1e-58	187.9		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IGXB@euNOG,0YBQC@NOG,1BCEN@strNOG,1DQCM@virNOG	1DQCM|1.5e-59|203.2	S	expressed protein
