gene,padj,eggNOG_HMM_model_annotation,log2FoldChange,best_OG|evalue|score,pvalue
augustus_masked-NW_019167827.1-processed-gene-13.4-mRNA-1:1,0.0431902799573956,Inherit from euNOG: Hydroxyproline-rich glycoprotein family protein,-6.00500980639555,1E27D|1.6e-155|519.9,0.00272031384806115
augustus_masked-NW_019167827.1-processed-gene-13.7-mRNA-1:2,0.040090650178209,MYB family transcription factor,-6.21886315640867,1DU9D|4.5e-140|468.0,0.00225669347552327
augustus_masked-NW_019167827.1-processed-gene-14.16-mRNA-1:1,0.0473677865934124,DUF246 domain-containing protein,-5.87482318242263,1DWY7|0.0|1011.7,0.00314183078415736
augustus_masked-NW_019167827.1-processed-gene-146.51-mRNA-1:1,0.00840014236096432,Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity),-5.94630317483895,1E5SY|4.7e-23|82.9,7.68261801468245e-05
augustus_masked-NW_019167827.1-processed-gene-15.13-mRNA-1:1,0.0326813579422246,Scarecrow-like protein,-6.2644311165921,1DXWE|3.1e-222|740.6,0.00139971552615989
augustus_masked-NW_019167827.1-processed-gene-15.3-mRNA-1:1,0.0373402089068275,aspartyl protease family protein,-5.93426982025708,1DWPJ|2.1e-246|819.0,0.00184530255400294
augustus_masked-NW_019167827.1-processed-gene-157.11-mRNA-1:1,0.0038657560477962,transcription,-8.17726168847462,1DTUY|1.3e-102|345.8,1.70297623250934e-05
augustus_masked-NW_019167827.1-processed-gene-158.0-mRNA-1:2,0.0260029897939387,annexin D5-like,-6.36685227097796,1DYH4|2.2e-140|469.3,0.000846028977071683
augustus_masked-NW_019167827.1-processed-gene-158.0-mRNA-1:3,0.0347946769404721,annexin D5-like,-4.25910662291126,1DYH4|2.2e-140|469.3,0.00161796099331613
augustus_masked-NW_019167827.1-processed-gene-16.0-mRNA-1:1,0.0298694468796858,zinc finger protein,-4.56266433780962,1E0ZI|1.7e-115|386.9,0.00116600431324334
augustus_masked-NW_019167827.1-processed-gene-161.0-mRNA-1:3,0.0494685399573482,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site",-6.06140647145927,1DRR5|2.6e-130|436.1,0.00359215484477354
augustus_masked-NW_019167827.1-processed-gene-161.1-mRNA-1:1,0.0161199386993063,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity),-5.5501163045874,1EKI1|4.9e-17|63.0,0.000285368491449296
augustus_masked-NW_019167827.1-processed-gene-161.12-mRNA-1:1,0.0149069278453802,Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity),-5.95102521615624,1E5SY|1.6e-58|199.5,0.000221403775438534
augustus_masked-NW_019167827.1-processed-gene-17.11-mRNA-1:1,0.049540313380392,21 kDa protein-like,-4.73172982928328,1E3N1|3.4e-79|266.0,0.00367369431088076
augustus_masked-NW_019167827.1-processed-gene-17.4-mRNA-1:7,0.0244641159400565,FAM10 family protein At4g22670-like,-3.04994640305837,1DUZA|8.2e-197|655.0,0.000730326661059637
augustus_masked-NW_019167827.1-processed-gene-174.2-mRNA-1:1,0.0373402089068275,glutamate,-4.49210145086669,1DVMS|2.6e-228|759.4,0.00184599172765031
augustus_masked-NW_019167827.1-processed-gene-174.2-mRNA-1:5,0.016027140477614,glutamate,-5.2674797983007,1DVMS|2.6e-228|759.4,0.000262383926457941
augustus_masked-NW_019167827.1-processed-gene-174.2-mRNA-1:6,0.0244641159400565,glutamate,-6.64949471307334,1DVMS|2.6e-228|759.4,0.000725152000379249
augustus_masked-NW_019167827.1-processed-gene-175.3-mRNA-1:3,0.0470826464381025,NA,-5.57799167754695,1DUQB|1.3e-95|321.2,0.00309966517176935
augustus_masked-NW_019167827.1-processed-gene-175.3-mRNA-1:6,0.034921222517462,NA,-5.99047302410639,1DUQB|1.3e-95|321.2,0.00166258769132605
augustus_masked-NW_019167827.1-processed-gene-18.10-mRNA-1:9,0.0298694468796858,ATP-dependent Clp protease proteolytic subunit,-6.54036532487294,1DSK2|8.1e-123|410.4,0.00118571328812868
augustus_masked-NW_019167827.1-processed-gene-18.5-mRNA-1:2,0.0298694468796858,NA,-6.53611631044468,1DVY4|1.5e-217|724.2,0.00120230222581733
augustus_masked-NW_019167827.1-processed-gene-18.9-mRNA-1:1,0.0415898495440416,Pentatricopeptide repeat-containing protein,-5.8838010117196,1DVA6|1.1e-219|731.9,0.00250394101513319
augustus_masked-NW_019167827.1-processed-gene-189.5-mRNA-1:1,0.0260029897939387,TFIIS helical bundle-like domain,-6.2748701491394,1EMQI|0.0|2544.4,0.000884466623676294
augustus_masked-NW_019167827.1-processed-gene-189.5-mRNA-1:8,0.0332414510488225,TFIIS helical bundle-like domain,3.16288031200706,1EMQI|0.0|2544.4,0.00146502479309216
augustus_masked-NW_019167827.1-processed-gene-189.5-mRNA-1:9,0.0199487424347437,TFIIS helical bundle-like domain,3.30052242949194,1EMQI|0.0|2544.4,0.000446897214640044
augustus_masked-NW_019167827.1-processed-gene-19.1-mRNA-1:10,0.0479050022669149,"AT hook motif domain containing protein, expressed",-4.51158091690153,1DUWT|2.1e-134|449.8,0.00327510282996264
augustus_masked-NW_019167827.1-processed-gene-19.14-mRNA-1:3,0.0464919440376389,Bile acid sodium symporter,-5.75168329895841,1DUN0|1.1e-206|687.7,0.00303801983799549
augustus_masked-NW_019167827.1-processed-gene-19.14-mRNA-1:4,0.0260029897939387,Bile acid sodium symporter,-6.27611956821525,1DUN0|1.1e-206|687.7,0.000884585311149652
augustus_masked-NW_019167827.1-processed-gene-191.2-mRNA-1:1,0.0149069278453802,alpha-mannosidase I,-7.205034810427,1E1T6|0.0|1109.7,0.000226194206170722
augustus_masked-NW_019167827.1-processed-gene-195.2-mRNA-1:3,0.0260029897939387,Transcription factor,-3.5948124092923,1E4XP|6.2e-128|427.8,0.000863345419319032
augustus_masked-NW_019167827.1-processed-gene-196.2-mRNA-1:1,0.0430462111633896,germin-like protein,3.43795084125003,1E30C|9.7e-100|333.3,0.00268074598551876
augustus_masked-NW_019167827.1-processed-gene-199.1-mRNA-1:4,0.028169932873395,Cation_ATPase_N,-6.62705044093009,1DUP3|4.5e-161|538.8,0.00104792701829565
augustus_masked-NW_019167827.1-processed-gene-199.1-mRNA-1:5,0.015202812018209,Cation_ATPase_N,-7.26837493524734,1DUP3|4.5e-161|538.8,0.000238125298376254
augustus_masked-NW_019167827.1-processed-gene-199.1-mRNA-1:7,0.0298694468796858,Cation_ATPase_N,-6.5543967623564,1DUP3|4.5e-161|538.8,0.00119967245021968
augustus_masked-NW_019167827.1-processed-gene-199.2-mRNA-1:6,0.0469328453344076,Cation_ATPase_N,-5.99622637211097,1DUP3|2.5e-266|887.1,0.00307831682565375
augustus_masked-NW_019167827.1-processed-gene-199.2-mRNA-1:7,0.0492397144809064,Cation_ATPase_N,-6.06437406317503,1DUP3|2.5e-266|887.1,0.00350679317521873
augustus_masked-NW_019167827.1-processed-gene-199.2-mRNA-1:8,0.0260029897939387,Cation_ATPase_N,-6.6864102725015,1DUP3|2.5e-266|887.1,0.000880728398815102
augustus_masked-NW_019167827.1-processed-gene-199.2-mRNA-1:9,0.0201018111760353,Cation_ATPase_N,-6.91911125171379,1DUP3|2.5e-266|887.1,0.000501807327448751
augustus_masked-NW_019167827.1-processed-gene-20.1-mRNA-1:1,0.00872328269322716,phosphate phosphate translocator,-7.65605027668236,1DZ5F|1.1e-208|693.2,8.75317157176489e-05
augustus_masked-NW_019167827.1-processed-gene-20.10-mRNA-1:1,0.016027140477614,Homeobox protein knotted-1-like,-5.91835292489595,1DQBQ|1.7e-175|583.0,0.000274571667506848
augustus_masked-NW_019167827.1-processed-gene-20.10-mRNA-1:5,0.0430462111633896,Homeobox protein knotted-1-like,-6.20920922410003,1DQBQ|1.7e-175|583.0,0.00268643755424972
augustus_masked-NW_019167827.1-processed-gene-20.11-mRNA-1:8,0.0459380233191674,YT521-B-like domain,-5.91799667245518,1EMB6|1.4e-152|509.5,0.00297315942728379
augustus_masked-NW_019167827.1-processed-gene-20.3-mRNA-1:1,0.0258921756841385,cytochrome P450,-6.76375765688215,1E0SZ|1.3e-160|537.4,0.000817447543625518
augustus_masked-NW_019167827.1-processed-gene-200.0-mRNA-1:1,0.0396632751191991,integral membrane HPP family protein,-6.35180607325437,1E2EX|3.1e-73|247.8,0.00218860286302938
augustus_masked-NW_019167827.1-processed-gene-200.5-mRNA-1:1,0.0260029897939387,Homeobox associated leucine zipper,-6.57382431113271,1E0YG|3.2e-91|307.4,0.000834534642694685
augustus_masked-NW_019167827.1-processed-gene-202.0-mRNA-1:5,0.0038657560477962,IQ-domain,-8.22490749404332,1DWS0|2.8e-185|618.5,1.67166603628364e-05
augustus_masked-NW_019167827.1-processed-gene-204.9-mRNA-1:2,0.0298694468796858,HVA22-like protein,-3.35453649610537,1DYEK|5.8e-69|232.3,0.00119757286268725
augustus_masked-NW_019167827.1-processed-gene-204.9-mRNA-1:4,0.0412431232737931,HVA22-like protein,-5.86225984544178,1DYEK|5.8e-69|232.3,0.00242094903524778
augustus_masked-NW_019167827.1-processed-gene-206.6-mRNA-1:6,0.0396997343405191,zinc finger,-5.78523759597293,1DQ5V|1.1e-133|448.2,0.0022055407966955
augustus_masked-NW_019167827.1-processed-gene-207.1-mRNA-1:1,0.0329246969482623,geranylgeranyl reductase,-6.51166180249132,1DVRH|1.4e-282|938.5,0.00141819546326338
augustus_masked-NW_019167827.1-processed-gene-207.1-mRNA-1:2,0.0406346287328778,geranylgeranyl reductase,-6.24842920768184,1DVRH|1.4e-282|938.5,0.00229908045006444
augustus_masked-NW_019167827.1-processed-gene-207.10-mRNA-1:1,0.0387558233958781,Thioredoxin,-5.98630148611127,1DTNQ|6.5e-105|351.0,0.00199827795698108
augustus_masked-NW_019167827.1-processed-gene-208.10-mRNA-1:1,0.00840014236096432,galactosyl transferase GMA12/MNN10 family,-6.47936029849112,1EDX6|3.8e-255|847.9,7.11162408796424e-05
augustus_masked-NW_019167827.1-processed-gene-209.1-mRNA-1:1,0.0299188926951255,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",2.95120294543452,1DYCK|6.3e-285|948.4,0.00123839378480865
augustus_masked-NW_019167827.1-processed-gene-209.11-mRNA-1:1,0.0414151024947483,"Protein of unknown function, DUF538",-6.2195715895645,1DYV8|8.3e-101|336.0,0.0024731485581788
augustus_masked-NW_019167827.1-processed-gene-21.1-mRNA-1:1,0.0332414510488225,eukaryotic translation initiation factor 2,-2.58634305567899,1DRAV|3.3e-207|688.1,0.00150685858494853
augustus_masked-NW_019167827.1-processed-gene-21.12-mRNA-1:1,0.00840014236096432,Transcription factor,-7.83749663979097,1E5QM|1.9e-84|284.0,7.13022362498485e-05
augustus_masked-NW_019167827.1-processed-gene-21.14-mRNA-1:1,0.00840014236096432,F-Box protein,-7.7991688326154,1DQT0|3.1e-144|480.5,5.85042758724074e-05
augustus_masked-NW_019167827.1-processed-gene-21.2-mRNA-1:11,0.0200120019018188,hydroxymethylglutaryl-CoA synthase,-5.11014176959195,1DT30|1.3e-234|780.5,0.000484331864988074
augustus_masked-NW_019167827.1-processed-gene-21.2-mRNA-1:3,0.00745689319638403,hydroxymethylglutaryl-CoA synthase,-6.35584712316992,1DT30|1.3e-234|780.5,4.74496385477202e-05
augustus_masked-NW_019167827.1-processed-gene-21.2-mRNA-1:4,0.0298694468796858,hydroxymethylglutaryl-CoA synthase,-6.38664562508227,1DT30|1.3e-234|780.5,0.00121349196819086
augustus_masked-NW_019167827.1-processed-gene-21.5-mRNA-1:1,9.47836694175734e-05,Multidrug and toxin extrusion protein,-9.79964724876684,1DQNH|5e-268|891.0,6.95915340804504e-08
augustus_masked-NW_019167827.1-processed-gene-210.5-mRNA-1:2,0.0415898495440416,40S ribosomal protein,-3.07867102451624,1DVGU|3.9e-164|545.3,0.00250299523774529
augustus_masked-NW_019167827.1-processed-gene-211.1-mRNA-1:1,0.0459380233191674,SNAP25 homologous protein,-2.85502425198425,1DQ6Q|4.3e-143|476.9,0.00297933827204585
augustus_masked-NW_019167827.1-processed-gene-213.13-mRNA-1:1,0.034921222517462,phosphoserine phosphatase,-6.26127050909006,1DT29|7.1e-145|483.1,0.0016450321622306
augustus_masked-NW_019167827.1-processed-gene-213.13-mRNA-1:6,0.0475225100982831,phosphoserine phosphatase,-5.67709115681091,1DT29|7.1e-145|483.1,0.00322166796309947
augustus_masked-NW_019167827.1-processed-gene-214.13-mRNA-1:1,0.016027140477614,SBP domain,-7.22795643486759,1E20W|1.2e-255|850.2,0.000265216435716336
augustus_masked-NW_019167827.1-processed-gene-214.13-mRNA-1:3,0.0260029897939387,SBP domain,-6.78032474444999,1E20W|1.2e-255|850.2,0.000861036897011326
augustus_masked-NW_019167827.1-processed-gene-214.7-mRNA-1:2,0.0149069278453802,reversibly glycosylated polypeptide,-5.93920330954332,1DQEQ|1.2e-233|775.7,0.000224526130207023
augustus_masked-NW_019167827.1-processed-gene-214.7-mRNA-1:3,0.00840014236096432,reversibly glycosylated polypeptide,-6.71793015240204,1DQEQ|1.2e-233|775.7,6.96096805090088e-05
augustus_masked-NW_019167827.1-processed-gene-214.7-mRNA-1:4,0.0180573238344518,reversibly glycosylated polypeptide,-5.66350874657654,1DQEQ|1.2e-233|775.7,0.000381791989864091
augustus_masked-NW_019167827.1-processed-gene-215.2-mRNA-1:1,0.00840014236096432,Galacturonosyltransferase,-5.20443023031635,1DT92|8.6e-281|933.2,7.78938511906228e-05
augustus_masked-NW_019167827.1-processed-gene-216.15-mRNA-1:2,0.0180573238344518,disease resistance protein,-4.95162251318888,1DTPA|5e-272|906.8,0.000380318065509908
augustus_masked-NW_019167827.1-processed-gene-216.15-mRNA-1:3,0.021593317280743,disease resistance protein,-4.6715863928166,1DTPA|5e-272|906.8,0.000580125663928347
augustus_masked-NW_019167827.1-processed-gene-219.2-mRNA-1:1,0.0332414510488225,disease resistance protein,-6.22146886040026,1DTPA|2e-87|295.3,0.00150345729157203
augustus_masked-NW_019167827.1-processed-gene-22.1-mRNA-1:1,0.0393683948562676,Scarecrow-like protein,-6.13751632979661,1DRCY|2.5e-291|969.3,0.00215822820553205
augustus_masked-NW_019167827.1-processed-gene-22.10-mRNA-1:1,0.0379567269071043,inactive rhomboid protein 1-like,-4.03622239492652,1DQ2R|1.1e-115|388.5,0.00191004080545656
augustus_masked-NW_019167827.1-processed-gene-22.10-mRNA-1:5,0.0106411109694696,inactive rhomboid protein 1-like,-7.50592316192844,1DQ2R|1.1e-115|388.5,0.000122401423290522
augustus_masked-NW_019167827.1-processed-gene-22.7-mRNA-1:1,0.0260029897939387,thaumatin-like protein,-6.48152553722707,1DQXX|9.5e-121|402.7,0.000861809086133633
augustus_masked-NW_019167827.1-processed-gene-221.21-mRNA-1:10,0.0252886522868046,Serine threonine-protein kinase,-6.31976413481951,1DUZE|1.4e-230|766.4,0.00077363718449598
augustus_masked-NW_019167827.1-processed-gene-221.5-mRNA-1:3,0.0144970886109017,Repressor protein,-5.12037419767379,1E2X4|9e-91|304.3,0.000191591479439229
augustus_masked-NW_019167827.1-processed-gene-221.5-mRNA-1:4,0.0397422674136163,Repressor protein,-5.90702911475085,1E2X4|9e-91|304.3,0.00221763019341765
augustus_masked-NW_019167827.1-processed-gene-222.10-mRNA-1:5,0.00373302578929878,"- Bric-a-Brac, Tramtrack, Broad Complex BTB domain with TAZ zinc finger and Calmodulin-binding domains, expressed",-3.714490176903,1EM7B|2.9e-177|590.1,1.37042062749588e-05
augustus_masked-NW_019167827.1-processed-gene-222.2-mRNA-1:5,0.0149069278453802,31 kDa ribonucleoprotein,-4.78369635681384,1EM2D|9.3e-137|456.4,0.000224577162639128
augustus_masked-NW_019167827.1-processed-gene-223.0-mRNA-1:6,0.0102337161891622,"- C2H2 zinc finger protein, expressed",-5.55101481785894,1DVI0|0.0|1126.7,0.000114738102406069
augustus_masked-NW_019167827.1-processed-gene-223.0-mRNA-1:8,0.00298839828699302,"- C2H2 zinc finger protein, expressed",-5.74658895048816,1DVI0|0.0|1126.7,8.77650010864324e-06
augustus_masked-NW_019167827.1-processed-gene-223.1-mRNA-1:1,0.038760910543859,telomere length regulation protein,2.89954053324162,1DSVZ|0.0|1396.9,0.00201108982753258
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:25,0.0272329259158819,callose synthase,-6.36857332586069,1DPTS|0.0|3154.9,0.000966415628439273
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:29,0.0349734916836834,callose synthase,-5.96957325570703,1DPTS|0.0|3154.9,0.00167763200440576
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:34,0.0261776952270374,callose synthase,-6.39477023160312,1DPTS|0.0|3154.9,0.000896935225595994
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:35,0.0412431232737931,callose synthase,-6.12187602185198,1DPTS|0.0|3154.9,0.00242341415049229
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:42,0.0418955386170492,callose synthase,-6.07333743345373,1DPTS|0.0|3154.9,0.00254095395069825
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:45,0.0141698736904997,callose synthase,-7.12057914480659,1DPTS|0.0|3154.9,0.000183799144786218
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:46,0.0393683948562676,callose synthase,-4.42535173720642,1DPTS|0.0|3154.9,0.00214397841285937
augustus_masked-NW_019167827.1-processed-gene-224.10-mRNA-1:11,0.0431902799573956,aspartyl,-5.67867553623161,1DSM8|1.5e-262|872.4,0.00271434183853731
augustus_masked-NW_019167827.1-processed-gene-225.0-mRNA-1:1,0.0161199386993063,calcium-binding protein,-7.20005210088081,1EFPY|2e-64|217.0,0.000289204729352079
augustus_masked-NW_019167827.1-processed-gene-225.5-mRNA-1:1,0.0474269086447004,NA,-5.55702383090978,1E5IP|2.6e-64|217.6,0.00320357973224114
augustus_masked-NW_019167827.1-processed-gene-225.8-mRNA-1:8,0.0480091770974534,AAA-type ATPase family protein,-5.76322094460432,1DX3I|0.0|1776.2,0.00331340869835581
augustus_masked-NW_019167827.1-processed-gene-226.10-mRNA-1:3,0.0285172138129931,"TB2/DP1, HVA22 family",-6.71309222546652,1EEQB|1.9e-30|106.7,0.00107480443641726
augustus_masked-NW_019167827.1-processed-gene-226.11-mRNA-1:1,0.0117069930422213,Nodulin-like,-7.43246784953307,1DXHW|0.0|1121.7,0.000140392231783858
augustus_masked-NW_019167827.1-processed-gene-226.11-mRNA-1:2,0.00409252933334669,Nodulin-like,-8.10081437560348,1DXHW|0.0|1121.7,2.19732396967628e-05
augustus_masked-NW_019167827.1-processed-gene-226.11-mRNA-1:3,0.00840014236096432,Nodulin-like,-7.64914007848387,1DXHW|0.0|1121.7,8.01902646399965e-05
augustus_masked-NW_019167827.1-processed-gene-226.14-mRNA-1:1,0.0347186501241348,Squamosa promoter-binding-like protein,-6.23856300512985,1DW84|9.6e-157|523.6,0.00159883813553478
augustus_masked-NW_019167827.1-processed-gene-227.0-mRNA-1:1,0.027875775295654,NA,3.16209259967428,1E4AX|3.3e-53|181.3,0.00101776643884084
augustus_masked-NW_019167827.1-processed-gene-227.12-mRNA-1:1,0.00315150209130022,60S ribosomal protein,-5.21307375365543,1DZR8|5.5e-162|538.2,1.07980982080771e-05
augustus_masked-NW_019167827.1-processed-gene-227.12-mRNA-1:6,0.0109419259967362,60S ribosomal protein,-5.73896916028072,1DZR8|5.5e-162|538.2,0.000128539512443303
augustus_masked-NW_019167827.1-processed-gene-228.11-mRNA-1:1,0.0215675415523804,NA,-6.55575501883894,1DR4I|0.0|2320.5,0.000564788777803403
augustus_masked-NW_019167827.1-processed-gene-228.5-mRNA-1:7,0.0226042650812504,S-acyltransferase,-2.928873056666,1DYB1|2.7e-173|577.8,0.000619598063901136
augustus_masked-NW_019167827.1-processed-gene-229.11-mRNA-1:1,0.0260029897939387,armadillo beta-catenin repeat family protein,-6.61330198469416,1DWCR|5.7e-291|967.0,0.000879575558877735
augustus_masked-NW_019167827.1-processed-gene-23.13-mRNA-1:1,0.0180573238344518,serine racemase,-5.06036943579057,1DTIE|1.5e-197|658.4,0.000370288461515431
augustus_masked-NW_019167827.1-processed-gene-23.13-mRNA-1:4,0.034921222517462,serine racemase,-6.23595948255361,1DTIE|1.5e-197|658.4,0.00166657816713291
augustus_masked-NW_019167827.1-processed-gene-23.14-mRNA-1:1,0.0347186501241348,Domain of unknown function (DUF296),-6.11679549620516,1DW0F|4.9e-152|509.0,0.00160592875023531
augustus_masked-NW_019167827.1-processed-gene-23.2-mRNA-1:3,0.0267617488501624,LURP-one-related 4-like,-6.66553416425812,1E54D|5.3e-86|288.6,0.00093004609317745
augustus_masked-NW_019167827.1-processed-gene-23.8-mRNA-1:8,0.0384749415160727,glutathione peroxidase,-6.1981973588316,1DVKX|2.3e-186|616.5,0.00196800361646089
augustus_masked-NW_019167827.1-processed-gene-23.9-mRNA-1:2,0.0387558233958781,ATP binding binding protein kinase protein serine threonine kinase protein tyrosine kinase,-5.85590029069742,1DVGQ|2.5e-121|406.4,0.00200134085573428
augustus_masked-NW_019167827.1-processed-gene-23.9-mRNA-1:5,0.0473677865934124,ATP binding binding protein kinase protein serine threonine kinase protein tyrosine kinase,-3.42306019057484,1DVGQ|2.5e-121|406.4,0.00317495314204037
augustus_masked-NW_019167827.1-processed-gene-230.0-mRNA-1:11,0.0298694468796858,"Actin-fragmin kinase, catalytic",-4.11467432929971,1E04E|0.0|1441.2,0.00120922273106318
augustus_masked-NW_019167827.1-processed-gene-230.1-mRNA-1:1,0.0286116692568397,NA,-6.33943244683716,1E2RX|4.3e-84|282.5,0.0010853667975551
augustus_masked-NW_019167827.1-processed-gene-230.2-mRNA-1:2,0.0200120019018188,ATP-dependent Clp protease ATP-binding subunit clpA,-4.98852847479572,1DXYB|0.0|1597.5,0.000485907999738453
augustus_masked-NW_019167827.1-processed-gene-230.2-mRNA-1:6,0.0390131872913987,ATP-dependent Clp protease ATP-binding subunit clpA,-3.93922063712543,1DXYB|0.0|1597.5,0.0020528231198362
augustus_masked-NW_019167827.1-processed-gene-230.6-mRNA-1:10,0.0298694468796858,Mei2-like,-2.77110275688571,1DRUA|8.8e-292|972.2,0.00120826490837373
augustus_masked-NW_019167827.1-processed-gene-230.6-mRNA-1:7,0.0379567269071043,Mei2-like,-4.32019855757627,1DRUA|8.8e-292|972.2,0.00193220734133081
augustus_masked-NW_019167827.1-processed-gene-231.1-mRNA-1:15,0.0332414510488225,may have effects in promoting growth and development. May function in membrane trafficking and in fusion of vesicles with plasma membrane,-6.24222226122643,1DR0J|0.0|1131.7,0.00151101286772311
augustus_masked-NW_019167827.1-processed-gene-231.2-mRNA-1:1,0.0487740923528052,glucuronoxylan glucuronosyltransferase activity,-5.95713893657062,1DUPA|6.3e-274|908.8,0.00340873095197389
augustus_masked-NW_019167827.1-processed-gene-231.2-mRNA-1:4,0.017598687333984,glucuronoxylan glucuronosyltransferase activity,-7.06794603414496,1DUPA|6.3e-274|908.8,0.000348872656400564
augustus_masked-NW_019167827.1-processed-gene-231.4-mRNA-1:1,0.0379567269071043,Stress up-regulated Nod 19,-5.5859428603966,1DVB2|1.5e-199|663.9,0.00191840038353335
augustus_masked-NW_019167827.1-processed-gene-231.4-mRNA-1:2,0.0479050022669149,Stress up-regulated Nod 19,-6.0955000764975,1DVB2|1.5e-199|663.9,0.00328165805309164
augustus_masked-NW_019167827.1-processed-gene-231.5-mRNA-1:1,0.0449520588390707,mitochondrial substrate carrier family protein,-6.20519428687881,1E9D3|2.9e-117|393.1,0.00289338998401263
augustus_masked-NW_019167827.1-processed-gene-231.7-mRNA-1:4,0.0121466764844941,Calcium-binding mitochondrial carrier protein,-5.3953001271634,1DRYT|8.4e-282|935.9,0.000151610499439354
augustus_masked-NW_019167827.1-processed-gene-231.7-mRNA-1:6,0.0299188926951255,Calcium-binding mitochondrial carrier protein,-6.29538648069277,1DRYT|8.4e-282|935.9,0.00124089924040437
augustus_masked-NW_019167827.1-processed-gene-232.0-mRNA-1:5,0.0332414510488225,chaperone protein,-6.04637100058255,1DQ9U|0.0|1597.1,0.00149022378352667
augustus_masked-NW_019167827.1-processed-gene-232.10-mRNA-1:8,0.0236107984077303,gtp-binding protein,-4.71333141042391,1DTYF|2.4e-113|377.8,0.000670301667962975
augustus_masked-NW_019167827.1-processed-gene-232.7-mRNA-1:12,0.0473677865934124,glutamate dehydrogenase,-4.62993506210406,1DTZF|3.2e-247|821.0,0.00313606797224245
